07_065 
 Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.031
 Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=200 ] = 0.054
 Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=200 ] = 0.032
 Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=200 ] = 0.013
 Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=200 ] = 0.061
 Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=200 ] = 0.083
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ] = 0.195
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.291
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=200 ] = 0.291
 Average Recall     (AR) @[ IoU=0.50      | area=   all | maxDets=200 ] = 0.441
 Average Recall     (AR) @[ IoU=0.75      | area=   all | maxDets=200 ] = 0.310
 Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=200 ] = 0.211
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=200 ] = 0.466
 Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=200 ] = 0.568
{'UVO frame results': {'AR@200': 0.2910935350756534, 'AP': 0.03099953060016484, 'AR.5': 0.44050894085281983, 'AR.75': 0.31017881705639616, 'AR@10': 0.1947386519944979, 'AR@100': 0.2910935350756534}}

07_065_PERFRAME
 Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.059
 Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=200 ] = 0.096
 Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=200 ] = 0.062
 Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=200 ] = 0.032
 Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=200 ] = 0.105
 Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=200 ] = 0.181
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ] = 0.261
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.394
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=200 ] = 0.394
 Average Recall     (AR) @[ IoU=0.50      | area=   all | maxDets=200 ] = 0.548
 Average Recall     (AR) @[ IoU=0.75      | area=   all | maxDets=200 ] = 0.425
 Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=200 ] = 0.318
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=200 ] = 0.527
 Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=200 ] = 0.623
{'UVO frame results': {'AR@200': 0.39375800376647835, 'AP': 0.05895502481807546, 'AR.5': 0.5481920903954802, 'AR.75': 0.4251977401129943, 'AR@10': 0.2608592278719397, 'AR@100': 0.39375800376647835}}
